,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
qwen2.5_7b_ms01_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed42,45.40372670807453,1.75479750421545,community,1934,365,439,1,805,45.40372670807453,40.8158787803664,0.2864629825187038
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed44,31.801242236024844,1.6400590162463842,community,1517,255,548,2,805,31.801242236024844,37.75427260669183,0.2223887865353858
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed42,31.801242236024844,1.6400590162463842,community,1513,255,548,2,805,31.801242236024844,37.20053783282307,0.1872448696799811
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed44,31.30434782608696,1.633092711106583,community,1495,251,552,2,805,31.30434782608696,37.1134594162157,0.2323466001083688
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed43,31.925465838509314,1.6417667474813304,community,1528,256,547,2,805,31.925465838509314,37.07644643183301,0.295904006133471
qwen2.5_7b_ms01_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed43,42.85714285714285,1.743063156858252,community,1966,344,459,2,805,42.85714285714285,37.069688973119,0.2884915360260284
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed43,30.55900621118012,1.6222322699862155,community,1523,245,558,2,805,30.55900621118012,35.940871046805064,0.2793550694147741
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed42,31.30434782608696,1.633092711106583,community,1670,251,552,2,805,31.30434782608696,33.30022401922772,0.243655042178317
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,25.093167701863354,1.5264820401305534,community,1834,201,602,2,805,25.093167701863354,20.91738165991908,0.3080585933849728
icr_enesru_llama3_8b_w-reinforce_150426,20.99378881987578,1.4336175812315448,community,1583,168,635,2,805,20.99378881987578,20.52720670663685,0.3094204098984788
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,23.229813664596275,1.4867348541925929,community,1831,186,617,2,805,23.229813664596275,19.889740868244857,0.2806929390073109
icr_enesru_llama3_8b_w-reinforce,20.93167701863354,1.433400008134319,community,1631,168,636,1,805,20.93167701863354,19.567244674919447,0.2997116367350857
icr_enesru_llama3_8b_dpo_250426,18.07453416149068,1.352833704065478,community,1476,144,658,3,805,18.07453416149068,19.1987182334263,0.3528781312011635
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,22.60869565217392,1.4725959690493426,community,1821,181,622,2,805,22.60869565217392,19.03465883641588,0.2394103550272174
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,19.627329192546583,1.3979772558354226,community,1582,157,646,2,805,19.627329192546583,18.532338032359256,0.2436674543145593
icr_enesru_llama3_8b_dpo,22.67080745341615,1.4753402696684974,community,1808,182,622,1,805,22.67080745341615,18.36602681735726,0.2793669330362945
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,22.857142857142858,1.4783067015940543,community,1830,183,620,2,805,22.857142857142858,18.30996085798499,0.3714809074015797
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,21.73913043478261,1.4520152710560696,community,1796,174,629,2,805,21.73913043478261,18.22391865363337,0.3038310216774497
llama3_8b_ma_lacomsa_es3_ru5_de5_fr3_top30_high_lang_filtered_g0p0_a1p0_all_pairs_easy_lc_seed42,21.67701863354037,1.449177136703219,community,1765,173,629,3,805,21.67701863354037,18.159259091063447,0.2936724378203811
llama3_8b_ma_lacomsa_es3_ru5_de5_fr3_top30_high_lang_filtered_g0p0_a1p0_all_pairs_easy_lc_seed43,21.428571428571427,1.443098474797186,community,1810,171,631,3,805,21.428571428571427,17.87495429187003,0.2579158332935204
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,17.391304347826086,1.3338595608363033,community,1599,139,664,2,805,17.391304347826086,17.141958932865737,0.2638015409898185
lacomsa_enesru_llama3_8b_sft,18.26086956521739,1.359697260678295,community,1811,146,657,2,805,18.26086956521739,16.756912813169336,0.2893630498066771
mapo_enesru_llama3_8b_w-reinforce,17.080745341614907,1.325795116107079,community,1575,137,667,1,805,17.080745341614907,16.7485481489329,0.1932631921786119
mapo_enesru_llama3_8b_w-reinforce_200426,17.080745341614907,1.325795116107079,community,1575,137,667,1,805,17.080745341614907,16.7485481489329,0.1932631921786119
mapo_enesru_llama3_8b_dpo,17.080745341614907,1.325795116107079,community,1575,137,667,1,805,17.080745341614907,16.7485481489329,0.1932631921786119
mapo_enesru_llama3_8b_dpo_200426,17.080745341614907,1.325795116107079,community,1575,137,667,1,805,17.080745341614907,16.7485481489329,0.1932631921786119
lacomsa_enesru_llama3_8b_dpo_250426,18.19875776397516,1.3593125467422102,community,1632,146,658,1,805,18.19875776397516,16.57720968919892,0.2105160748290525
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,20.248447204968944,1.4144922995101294,community,1802,162,641,2,805,20.248447204968944,16.225438082413064,0.2838090594103158
mapo_enesru_llama3_8b_npo_checkpoint-1,16.832298136645964,1.3180709007126323,community,1644,135,669,1,805,16.832298136645964,15.497133409804286,0.2284325399395211
mapo_enesru_llama3_8b_npo_checkpoint-2,16.211180124223603,1.298300679121844,community,1638,130,674,1,805,16.211180124223603,15.459187301996344,0.24454724258478935
mapo_enesru_llama3_8b_dpo_250426,15.838509316770184,1.2831067436358383,community,1585,126,676,3,805,15.838509316770184,14.777793208531698,0.2619534057293819
